SampleID,category,xsectioninpb,kfactor,filterefficiency,xsecunc

305785, DYtautau_70M120,    1.4272,      1.0,  1.0, 1.
303437, DYtautau_120M180,   0.013842,    1.0,  1.0, 1.                                                                                         
303438, DYtautau_180M250,   0.0023352,   1.0,  1.0, 1.
303439, DYtautau_250M400,   0.00086526,  1.0,  1.0, 1.
303440, DYtautau_400M600,   0.00015594,  1.0,  1.0, 1.
303441, DYtautau_600M800,   2.9643e-05,  1.0,  1.0, 1.
303442, DYtautau_800M1000,  8.3148e-06,  1.0,  1.0, 1.
303443, DYtautau_1000M1250, 3.3072e-06,  1.0,  1.0, 1.
303444, DYtautau_1250M1500, 1.0955e-06,  1.0,  1.0, 1.
303445, DYtautau_1500M1750, 4.1817e-07,  1.0,  1.0, 1.
303446, DYtautau_1750M2000, 1.761e-07,   1.0,  1.0, 1.
303447, DYtautau_2000M2250, 7.9838e-08,  1.0,  1.0, 1.
303448, DYtautau_2250M2500, 3.8223e-08,  1.0,  1.0, 1.
303449, DYtautau_2500M2750, 1.9088e-08,  1.0,  1.0, 1.
303450, DYtautau_2750M3000, 9.8673e-09,  1.0,  1.0, 1.
303451, DYtautau_3000M3500, 8.0521e-09,  1.0,  1.0, 1.
303452, DYtautau_3500M4000, 2.4178e-09,  1.0,  1.0, 1.
303453, DYtautau_4000M4500, 7.5696e-10,  1.0,  1.0, 1.
303454, DYtautau_4500M5000, 2.4277e-10,  1.0,  1.0, 1.
303455, DYtautau_5000M,     1.1662e-10,  1.0,  1.0, 1.

################################################################################################################
# ttbar
410000, PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad,696.12, 1., 0.543,1.
410003, PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad,696.12, 1., 0.543,1.


################################################################################################################
# single top
410011,  PowhegPythiaEvtGen_P2012_singletop_tchan_lept_top,       43.739,  1.,      1.,      1.
410012,  PowhegPythiaEvtGen_P2012_singletop_tchan_lept_antitop,   25.778,  1.,      1.,      1.

410013,  PowhegPythiaEvtGen_P2012_Wt_inclusive_top,               34.009,  1.,      1.,      1.
410014,  PowhegPythiaEvtGen_P2012_Wt_inclusive_antitop,           33.989,  1.,      1.,      1.
410015,  PowhegPythiaEvtGen_P2012_Wt_dilepton_top,                3.5835,  1.,      1.,      1.
410016,  PowhegPythiaEvtGen_P2012_Wt_dilepton_antitop,            3.5814,  1.,      1.,      1.

# Filtered samples -- efficiencies from evgen preparation (AMI is wrong)
407018,  PowhegPythiaEvtGen_P2012CT10_Wt_inclusive_top_HT500,     34.009,  1.,      0.0884612,       1.
407019,  PowhegPythiaEvtGen_P2012CT10_Wt_inclusive_top_MET200,    34.009,  1.,      0.0112825,       1.
407020,  PowhegPythiaEvtGen_P2012CT10_Wt_inclusive_tbar_HT500,    33.989,  1.,      0.0884152,       1.
407021,  PowhegPythiaEvtGen_P2012CT10_Wt_inclusive_tbar_MET200,   33.989,  1.,      0.0112591,       1.

410025,  PowhegPythiaEvtGen_P2012_SingleTopSchan_noAllHad_top,      2.0517,  1.,      1.,      1.
410026,  PowhegPythiaEvtGen_P2012_SingleTopSchan_noAllHad_antitop, 1.,2615,  1.,      1.,      1.

410064,  PowhegPythiaEvtGen_P2012_Wt_DS_dilepton_top,     3.4133,  1.,054,   1.,      1.
410065,  PowhegPythiaEvtGen_P2012_Wt_DS_dilepton_antitop, 3.409,   1.,054,   1.,      1.

################################################################################################################
# Powheg inclusive W
361100, PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusenu,    11306., 1.0, 1., 1.
361101, PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusmunu,   11306., 1.0, 1., 1.
361102, PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplustaunu,  11306., 1.0, 1., 1.
361103, PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminusenu,   8282.6, 1.0, 1., 1.
361104, PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminusmunu,  8282.6, 1.0, 1., 1.
361105, PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminustaunu, 8282.6, 1.0, 1., 1.
################################################################################################################
# Powheg inclusive Z
361106, PowhegPythia8EvtGen_AZNLOCTEQ6L1_Zee,     1901.2, 1.0, 1., 1.
361107, PowhegPythia8EvtGen_AZNLOCTEQ6L1_Zmumu,   1901.2, 1.0, 1., 1.
361108, PowhegPythia8EvtGen_AZNLOCTEQ6L1_Ztautau, 1901.2, 1.0, 1., 1.

# ggH lh high mass 
